"filename", "language", "Python", "pip requirements", "Docker", "YAML", "HTML", "Markdown", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\models\endereco.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\models\funcionario.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\models\permissao.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\models\pet.py", "Python", 21, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\models\producao.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 12, 38
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\models\servico.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 0, 9, 22
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\models\usuario.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\schemas\agendamento.py", "Python", 46, 0, 0, 0, 0, 0, 0, 0, 0, 19, 65
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\schemas\auth.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\schemas\cliente.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\schemas\cliente_completo.py", "Python", 33, 0, 0, 0, 0, 0, 0, 0, 0, 8, 41
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\schemas\empresa.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\schemas\endereco.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\schemas\funcionario.py", "Python", 45, 0, 0, 0, 0, 0, 0, 0, 0, 11, 56
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\schemas\pet.py", "Python", 36, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\schemas\producao.py", "Python", 29, 0, 0, 0, 0, 0, 0, 0, 0, 9, 38
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\schemas\servico.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 16, 35
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\schemas\usuario.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\services\auditoria_service.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\services\auth_service.py", "Python", 36, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\static\css\style.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1150, 11, 196, 1357
